,AwardNumber,City,Funds_MDollars,Year
0,61762030,Guilin,0.059154929577464786,2018
1,U1501252,Guilin,0.323943661971831,2016
2,91746201,Beijing,0.3380281690140845,2018
3,U1501253,Beijing,0.323943661971831,2016
4,61903004,Beijing,0.032394366197183104,2020
5,71774093,Beijing,0.06760563380281691,2018
6,71871010,Beijing,0.06760563380281691,2019
7,61873018,Beijing,0.08873239436619719,2019
8,61872037,Beijing,0.09154929577464789,2019
9,71874195,Beijing,0.06760563380281691,2019
10,41907192,Beijing,0.03802816901408451,2020
11,41875125,Beijing,0.08309859154929577,2019
12,71771018,Beijing,0.06901408450704226,2018
13,41801299,Beijing,0.028028169014084506,2019
14,71804033,Beijing,0.02464788732394366,2019
15,71771010,Beijing,0.06619718309859154,2018
16,71774014,Beijing,0.06760563380281691,2018
17,71774169,Beijing,0.059154929577464786,2018
18,41701455,Beijing,0.036619718309859155,2018
19,91646207,Beijing,0.3380281690140845,2017
20,61672069,Beijing,0.08873239436619719,2017
21,41701473,Beijing,0.030985915492957747,2018
22,71671015,Beijing,0.06478873239436621,2017
23,61673366,Beijing,0.08732394366197184,2017
24,51678029,Beijing,0.08732394366197184,2017
25,71673267,Beijing,0.06760563380281691,2017
26,61572059,Beijing,0.0943661971830986,2016
27,71571017,Beijing,0.06943661971830986,2016
28,61433002,Beijing,0.5211267605633804,2015
29,91646124,Beijing,0.06056338028169014,2017
30,41901367,Beijing,0.036619718309859155,2020
31,41671403,Beijing,0.08873239436619719,2017
32,41671359,Beijing,0.07746478873239437,2017
33,41701469,Beijing,0.032394366197183104,2018
34,41701438,Beijing,0.036619718309859155,2018
35,71904095,Beijing,0.016901408450704227,2020
36,71572015,Beijing,0.061971830985915494,2016
37,51708324,Beijing,0.033802816901408454,2018
38,51608294,Beijing,0.028169014084507046,2017
39,41575156,Beijing,0.09859154929577464,2016
40,61872009,Beijing,0.09577464788732395,2019
41,U1709212,Beijing,0.28169014084507044,2018
42,61871039,Beijing,0.0943661971830986,2019
43,61603012,Beijing,0.029577464788732393,2017
44,61874012,Beijing,0.08873239436619719,2019
45,11801019,Beijing,0.035211267605633804,2019
46,41775160,Beijing,0.09859154929577464,2018
47,51778327,Beijing,0.08309859154929577,2018
48,61603005,Beijing,0.02535211267605634,2017
49,21607008,Beijing,0.028169014084507046,2017
50,61702316,Linfen,0.029577464788732393,2018
51,61602106,Shenyang,0.028169014084507046,2017
52,71601126,Shenyang,0.02563380281690141,2017
53,61876138,Xi'an,0.09154929577464789,2019
54,71901037,Xi'an,0.026760563380281693,2020
55,71871027,Xi'an,0.06760563380281691,2019
56,41801373,Xi'an,0.03577464788732394,2019
57,61672399,Xi'an,0.09154929577464789,2017
58,71901040,Xi'an,0.026760563380281693,2020
59,71871028,Xi'an,0.06478873239436621,2019
60,61802261,Shenzhen,0.035211267605633804,2019
61,11871411,Shenzhen,0.07464788732394367,2019
62,41771441,Shenzhen,0.08873239436619719,2018
63,41671154,Shenzhen,0.08309859154929577,2017
64,61771018,Shenzhen,0.07042253521126761,2018
65,41801322,Shenzhen,0.03253521126760564,2019
66,41901391,Shenzhen,0.03943661971830986,2020
67,41801360,Shenzhen,0.03549295774647888,2019
68,U1711266,Wuhan,0.7042253521126761,2018
69,41871308,Wuhan,0.08098591549295775,2019
70,U1711267,Wuhan,0.6901408450704226,2018
71,51808409,Wuhan,0.036619718309859155,2019
72,41801285,Wuhan,0.035211267605633804,2019
73,41801306,Wuhan,0.0371830985915493,2019
74,41771454,Wuhan,0.08873239436619719,2018
75,51708425,Wuhan,0.035211267605633804,2018
76,41701451,Wuhan,0.035211267605633804,2018
77,51579182,Wuhan,0.08873239436619719,2016
78,51608395,Wuhan,0.028169014084507046,2017
79,41431175,Wuhan,0.49295774647887325,2015
80,71901192,Hangzhou,0.026760563380281693,2020
81,51908488,Hangzhou,0.035211267605633804,2020
82,51808495,Hangzhou,0.036619718309859155,2019
83,U1609217,Hangzhou,0.295774647887324,2017
84,91746105,Hangzhou,0.06056338028169014,2018
85,41601423,Hangzhou,0.029577464788732393,2017
86,U1809208,Hangzhou,0.2774647887323944,2019
87,U1709216,Hangzhou,0.28169014084507044,2018
88,U1509206,Hangzhou,0.295774647887324,2016
89,U1509205,Hangzhou,0.295774647887324,2016
90,U1509207,Hangzhou,0.2676056338028169,2016
91,U1709214,Hangzhou,0.28169014084507044,2018
92,51578507,Hangzhou,0.08309859154929577,2016
93,51778559,Hangzhou,0.08450704225352113,2018
94,51739009,Zhengzhou,0.4225352112676057,2018
95,61862066,Kunming,0.05211267605633803,2019
96,61663047,Kunming,0.05070422535211268,2017
97,51879068,Nanjing,0.08450704225352113,2019
98,61772267,Nanjing,0.08732394366197184,2018
99,31770752,Nanjing,0.08591549295774648,2018
100,51708276,Nanjing,0.033802816901408454,2018
101,41671392,Nanjing,0.09154929577464789,2017
102,51708103,Nanjing,0.028169014084507046,2018
103,61702288,Nanjing,0.033802816901408454,2018
104,41601497,Nanjing,0.026760563380281693,2017
105,41877151,Nanjing,0.08591549295774648,2019
106,41801159,Nanjing,0.033239436619718316,2019
107,41801239,Nanjing,0.033802816901408454,2019
108,41771140,Nanjing,0.08309859154929577,2018
109,71803087,Nanjing,0.02535211267605634,2019
110,41675016,Nanjing,0.09577464788732395,2017
111,41705100,Nanjing,0.035211267605633804,2018
112,41571377,Nanjing,0.08450704225352113,2016
113,41571350,Nanjing,0.08450704225352113,2016
114,41571418,Nanjing,0.08450704225352113,2016
115,71901120,Nanjing,0.02535211267605634,2020
116,41904024,Nanjing,0.035211267605633804,2020
117,41704022,Nanjing,0.033802816901408454,2018
118,71701101,Nanjing,0.02394366197183099,2018
119,41877526,Nanjing,0.028169014084507046,2019
120,51578123,Nanjing,0.08732394366197184,2016
121,41901396,Jinan,0.029577464788732393,2020
122,51708335,Jinan,0.036619718309859155,2018
123,51778349,Jinan,0.08591549295774648,2018
124,41871331,Shanghai,0.08169014084507042,2019
125,41730642,Shanghai,0.4647887323943662,2018
126,61772342,Shanghai,0.08732394366197184,2018
127,61772341,Shanghai,0.08732394366197184,2018
128,41771168,Shanghai,0.08450704225352113,2018
129,41771372,Shanghai,0.08873239436619719,2018
130,71673188,Shanghai,0.06478873239436621,2017
131,71701152,Shanghai,0.02394366197183099,2018
132,41871374,Shanghai,0.08169014084507042,2019
133,71771061,Shanghai,0.07042253521126761,2018
134,51878455,Shanghai,0.08450704225352113,2019
135,51778364,Shanghai,0.08591549295774648,2018
136,51778418,Shanghai,0.08591549295774648,2018
137,51778434,Shanghai,0.08591549295774648,2018
138,51678412,Shanghai,0.08732394366197184,2017
139,41861052,Nanchang,0.05746478873239436,2019
140,41701183,Nanchang,0.036619718309859155,2018
141,41601453,Nanchang,0.026760563380281693,2017
142,51708098,Nanchang,0.035211267605633804,2018
143,41871161,Guangzhou,0.08169014084507042,2019
144,41801304,Guangzhou,0.03732394366197184,2019
145,U1501254,Guangzhou,0.323943661971831,2016
146,41671430,Guangzhou,0.09154929577464789,2017
147,71804120,Guangzhou,0.027464788732394368,2019
148,41901191,Guangzhou,0.036619718309859155,2020
149,U1501251,Guangzhou,0.33098591549295775,2016
150,51879107,Guangzhou,0.08450704225352113,2019
151,51878284,Guangzhou,0.08450704225352113,2019
152,61802383,Guangzhou,0.03802816901408451,2019
153,41801133,Guangzhou,0.030985915492957747,2019
154,51908204,Changsha,0.033802816901408454,2020
155,71671063,Changsha,0.06478873239436621,2017
156,71734002,Changsha,0.3380281690140845,2018
157,61872372,Changsha,0.09014084507042254,2019
158,41871318,Changsha,0.08098591549295775,2019
159,51875049,Changsha,0.08450704225352113,2019
160,61872127,Yiyang,0.08873239436619719,2019
161,61771193,Huzhou,0.0943661971830986,2018
162,61773324,Chengdu,0.08873239436619719,2018
163,51907097,Chengdu,0.035211267605633804,2020
164,41771535,Chengdu,0.08450704225352113,2018
165,U1766208,Chengdu,0.4112676056338028,2018
166,71804034,Harbin,0.026056338028169014,2019
167,91746207,Harbin,0.3380281690140845,2018
168,51608144,Harbin,0.028169014084507046,2017
169,51678178,Harbin,0.08732394366197184,2017
170,51577034,Harbin,0.09577464788732395,2016
171,71761031,Lanzhou,0.03943661971830986,2018
172,61663021,Lanzhou,0.059154929577464786,2017
173,41801343,Fuzhou,0.035211267605633804,2019
174,41801160,Fuzhou,0.0371830985915493,2019
175,41801153,Changchun,0.03732394366197184,2019
176,31760228,Guiyang,0.05070422535211268,2018
177,51667007,Guiyang,0.06169014084507042,2017
178,61573076,Chongqing,0.09295774647887325,2016
179,61802361,Chongqing,0.033802816901408454,2019
180,41801327,Xuzhou,0.035211267605633804,2019
181,71704045,Hefei,0.026760563380281693,2018
182,61802104,Hefei,0.035211267605633804,2019
183,51875149,Hefei,0.08450704225352113,2019
184,11672289,Hefei,0.07887323943661972,2017
185,71704167,Hefei,0.026760563380281693,2018
186,81573257,Xiamen,0.07746478873239437,2016
187,51808365,Suzhou,0.026760563380281693,2019
188,U1709217,Suzhou,0.28169014084507044,2018
189,51708169,Tianjin,0.032394366197183104,2018
190,51779165,Tianjin,0.08450704225352113,2018
191,61571244,Tianjin,0.0943661971830986,2016
192,71603258,Tianjin,0.02394366197183099,2017
193,61703145,Jiaozuo,0.035211267605633804,2018
194,61573299,Xiangtan,0.09295774647887325,2016
195,31570701,Dalian,0.09718309859154929,2016
